ID de l'activité,Date de l'activité,Nom de l'activité,Type d'activité,Description de l'activité,Temps écoulé,Distance,Fréquence cardiaque max.,Effort relatif,Déplacement-transport,Note privée sur les activités,Matériel utilisé pour l'activité,Nom du fichier,Poids de l'athlète,Poids du vélo,Temps écoulé,Durée de déplacement,Distance,Vitesse max.,Vitesse moyenne,Dénivelé positif,Dénivelé négatif,Altitude min.,Altitude max.,Pente max.,Pente moyenne,Pente positive moyenne,Pente négative moyenne,Cadence max.,Cadence moyenne,Fréquence cardiaque max.,Fréquence cardiaque moyenne,Puissance max.,Puissance moyenne,Calories,Température max.,Température moyenne,Effort relatif,Effort total,Nombre de sorties course à pied,Temps de montée,Temps de descente,Autres temps,Effort ressenti,Type,Heure de début,Puissance moyenne pondérée,Nombre d'échantillons de puissance,Utiliser l'Effort ressenti,Effort relatif ressenti,Déplacement-transport,Poids total soulevé,À partir du téléchargement,Distance ajustée selon la pente,Heure d'observation de la météo,Conditions météo,Température selon les prévisions météo,Température ressentie,Point de rosée,Humidité,Pression atmosphérique,Vitesse du vent,Rafale de vent,Direction du vent,Intensité des précipitations,Heure de lever du soleil,Heure de coucher du soleil,Phase de la lune,Vélo,Matériel,Probabilité de précipitations,Type de précipitations,Couverture nuageuse,Visibilité selon les prévisions météo,Indice UV,Ozone selon les prévisions météo,Nombre de sauts,Grit total,Flow moyen,Signalé,Vitesse moyenne (temps écoulé),Distance sur chemin,Distance récemment découverte,Distance sur chemin récemment découverte,Nombre d'activités,Nombre total de pas,CO2 économisé,Longueur de piscine,Charge d’entraînement,Intensité,Vitesse moyenne ajustée selon la pente,Temps enregistré par le chronomètre,Nombre total de cycles,Récupération,Avec mon animal de compagnie,Compétition,Sortie longue,Pour la bonne cause,Support
9819825917,10 sept. 2023 à 07:52:52,Balade 10/09/23 le matin,Vélo,"",5364,"22,34",,,false,,VTT Nakamura ,activities/10526565772.fit.gz,,,5364.0,4272.0,22341.4,11.455,5.23,234.2,252.0,47.8,105.4,10.1,0.0,,,,,,,,,845.0,,,,,,,,,4.0,,,,,0.0,47.0,0.0,,1.0,,,,,,,,,,,,,,,,13209266.0,,,,,,,,,,,0.0,4.165,6207.0,,,,,,,,,,,,,,,,,""
9835531153,12 sept. 2023 à 15:48:56,Balade 12/09/23 l'après-midi,Vélo,"",3084,"14,53",,,false,,VTT Nakamura ,activities/10543143717.fit.gz,,,3084.0,2520.0,14535.4,10.143,5.768,136.1,158.0,45.0,105.3,10.7,0.0,,,,,,,,124.0,532.0,,,,,,,,,3.0,,,,,0.0,21.0,0.0,,1.0,,,,,,,,,,,,,,,,13209266.0,,,,,,,,,,,0.0,4.713,6158.3,,,,,,,,,,,,,,,,,media/50f3031e-6b1e-4403-8913-7e80113094a7.jpg
9852887402,15 sept. 2023 à 09:04:14,Entraînement le midi,Entraînement,,2701,0,,,false,,,activities/10561308886.fit.gz,,,2701.0,2701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,315.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,""
9855716742,15 sept. 2023 à 17:50:32,Balade 15/09/23 en soirée,Vélo,"",2974,"15,00",,,false,,VTT Nakamura ,activities/10564265355.fit.gz,,,2974.0,2589.0,15007.4,11.757,5.797,142.4,145.0,45.2,105.4,7.4,0.0,,,,,,,,128.0,564.0,,,,,,,,,3.0,,,,,0.0,21.0,0.0,,1.0,,,,,,,,,,,,,,,,13209266.0,,,,,,,,,,,0.0,5.046,5918.8,,,,,,,,,,,,,,,,,""
9875145500,18 sept. 2023 à 17:41:26,Balade 18/09/23 en soirée,Vélo,"",2537,"12,91",,,false,,VTT Nakamura ,activities/10584689463.fit.gz,,,2537.0,2192.0,12915.1,11.029,5.892,121.4,151.0,49.7,106.0,17.6,0.0,,,,,,,,126.0,487.0,,,,,,,,,3.0,,,,,0.0,18.0,0.0,,1.0,,,,,,,,,,,,,,,,13209266.0,,,,,,,,,,,0.0,5.091,5425.9,,,,,,,,,,,,,,,,,""
9888103127,20 sept. 2023 à 17:44:14,Balade 20/09/23 en soirée,Vélo,"",2051,"11,51",,,false,,VTT Nakamura ,activities/10598234554.fit.gz,,,2051.0,1890.0,11518.7,10.575,6.095,107.3,130.0,45.2,105.4,8.2,0.0,,,,,,,,132.0,423.0,,,,,,,,,3.0,,,,,0.0,15.0,0.0,,1.0,,1695229184.0,3.0,22.2,22.8,16.6,0.7,1005.9,5.6,9.4,235.0,0.0,1695188736.0,1695233024.0,0.125,13209266.0,,0.0,1.0,0.65,28795.0,0.0,,,,,0.0,5.616,4941.8,,,,,,,,,,,,,,,,,media/1764c463-2ef3-4013-b2ae-d1423ff16830.jpg
9918678491,25 sept. 2023 à 16:09:19,Balade 25/09/23 en soirée,Vélo,"",3245,"14,21",,,false,,VTT Nakamura ,activities/10630343175.fit.gz,,,3245.0,2345.0,14218.8,11.58,6.063,144.1,156.0,45.0,106.0,37.3,0.0,,,,,,,,132.0,496.0,,,,,,,,,5.0,,,,,0.0,42.0,0.0,,1.0,,1695657600.0,1.0,25.0,25.2,14.9,0.53,1020.5,1.0,2.2,86.0,0.0,1695621120.0,1695664384.0,0.375,13209266.0,,0.0,1.0,0.15,33111.3,1.0,,,,,0.0,4.382,4393.7,,,,,,,,,,,,,,,,,""
9931641579,27 sept. 2023 à 15:27:46,Balade 27/09/23 l'après-midi,Vélo,"",4077,"18,63",,,false,,VTT Nakamura ,activities/10643945288.fit.gz,,,4077.0,3143.0,18633.7,12.043,5.929,178.2,197.0,45.2,105.4,34.3,0.0,,,,,,,,128.0,634.0,,,,,,,,,4.0,,,,,0.0,35.0,0.0,,1.0,,1695826816.0,3.0,25.9,26.9,17.8,0.61,1015.1,5.0,7.7,243.0,0.0,1695794048.0,1695837056.0,0.375,13209266.0,,0.0,1.0,0.96,31066.3,2.0,,,,,0.0,4.57,7041.2,,,,,,,,,,,,,,,,,media/9f9970c9-2f6c-4746-8975-f4eafca1b40c.jpg
9942120216,29 sept. 2023 à 08:36:34,Entraînement le matin,Entraînement,,5300,0,,,false,,,activities/10654852527.fit.gz,,,5300.0,5300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,561.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,""
9948466124,30 sept. 2023 à 10:49:45,Balade 30/09/23 le midi,Vélo,"",2765,"14,68",,,false,,VTT Nakamura ,activities/10661471370.fit.gz,,,2765.0,2379.0,14688.5,10.62,6.174,124.2,130.0,46.0,105.4,22.9,0.0,,,,,,,,132.0,511.0,,,,,,,,,3.0,,,,,0.0,19.0,0.0,,1.0,,1696067968.0,1.0,20.7,20.7,14.0,0.66,1026.5,1.0,3.9,100.0,0.0,1696053504.0,1696095872.0,0.625,13209266.0,,0.0,1.0,0.12,31296.7,3.0,,,,,0.0,5.312,4782.4,,,,,,,,,,,,,,,,,""
