timestamp;position_lat_deg;position_long_deg;altitude;distance;speed;speed_kmh;heart_rate;enhanced_altitude;enhanced_speed;cadence
2025-09-22T14:39:55;46.3392043299973;-0.32233480364084244;126.79999999999995;0.0;0.0;0.0;85;126.79999999999995;0.0;0
2025-09-22T14:39:56;46.33920441381633;-0.3223341330885887;126.60000000000002;0.0;0.0;0.0;85;126.60000000000002;0.0;0
2025-09-22T14:40:01;46.33920810185373;-0.32241049222648144;125.60000000000002;0.0;2.417;8.7012;93;125.60000000000002;2.417;0
2025-09-22T14:40:02;46.339204581454396;-0.3224602807313204;125.60000000000002;3.79;3.266;11.7576;97;125.60000000000002;3.266;0
2025-09-22T14:40:03;46.33919645100832;-0.32250369898974895;125.39999999999998;7.17;4.012;14.4432;97;125.39999999999998;4.012;0
2025-09-22T14:40:05;46.339178178459406;-0.32256849110126495;125.20000000000005;12.56;4.357;15.685200000000002;98;125.20000000000005;4.357;0
2025-09-22T14:40:06;46.3391472492367;-0.32262464985251427;125.20000000000005;18.08;4.768;17.1648;103;125.20000000000005;4.768;0
2025-09-22T14:40:07;46.339107770472765;-0.32267142087221146;125.20000000000005;23.71;5.169;18.6084;105;125.20000000000005;5.169;0
2025-09-22T14:40:09;46.33901724591851;-0.3227114025503397;125.0;34.25;4.889;17.6004;106;125.0;4.889;0
2025-09-22T14:40:11;46.33891976438463;-0.32269095070660114;124.79999999999995;45.32;5.244;18.8784;105;124.79999999999995;5.244;0
2025-09-22T14:40:12;46.33886964060366;-0.3226482030004263;124.79999999999995;51.78;5.692;20.491200000000003;106;124.79999999999995;5.692;0
2025-09-22T14:40:13;46.33881591260433;-0.32258927822113037;124.60000000000002;59.27;6.438;23.1768;103;124.60000000000002;6.438;0
2025-09-22T14:40:15;46.338706612586975;-0.3224586881697178;124.60000000000002;75.04;7.418;26.704800000000002;99;124.60000000000002;7.418;0
2025-09-22T14:40:16;46.3386517111212;-0.32239104621112347;124.39999999999998;83.06;7.427;26.737199999999998;99;124.39999999999998;7.427;0
2025-09-22T14:40:18;46.338535118848085;-0.3222753759473562;124.20000000000005;98.82;7.25;26.1;98;124.20000000000005;7.25;0
2025-09-22T14:40:20;46.33840276859701;-0.32224184833467007;124.20000000000005;113.85;7.25;26.1;96;124.20000000000005;7.25;0
2025-09-22T14:40:22;46.33829011581838;-0.3223268408328295;124.0;128.21;7.25;26.1;95;124.0;7.25;0
2025-09-22T14:40:23;46.338251642882824;-0.3224125877022743;123.79999999999995;136.06;7.418;26.704800000000002;94;123.79999999999995;7.418;0
2025-09-22T14:40:27;46.33811702951789;-0.32282548025250435;123.60000000000002;171.19;9.041;32.5476;95;123.60000000000002;9.041;0
2025-09-22T14:40:34;46.337873954325914;-0.32364455983042717;123.0;239.8;9.387;33.793200000000006;98;123.0;9.387;0
2025-09-22T14:40:35;46.33783623576164;-0.3237602300941944;123.0;249.64;9.499;34.196400000000004;99;123.0;9.499;0
2025-09-22T14:40:40;46.33761981502175;-0.32430505380034447;122.60000000000002;298.01;9.573;34.4628;102;122.60000000000002;9.573;0
2025-09-22T14:40:42;46.33752820082009;-0.3245120868086815;122.39999999999998;316.93;9.592;34.531200000000005;102;122.39999999999998;9.592;0
2025-09-22T14:40:48;46.33723357692361;-0.3251818008720875;121.79999999999995;378.01;9.881;35.571600000000004;103;121.79999999999995;9.881;0
2025-09-22T14:40:51;46.33708672598004;-0.3255019895732403;121.0;407.57;9.881;35.571600000000004;102;121.0;9.881;0
2025-09-22T14:40:54;46.33694767020643;-0.32581991516053677;120.20000000000005;436.52;9.844;35.4384;105;120.20000000000005;9.844;0
2025-09-22T14:40:58;46.336783803999424;-0.32628645189106464;119.0;476.83;9.844;35.4384;106;119.0;9.844;0
2025-09-22T14:41:04;46.33664642460644;-0.32689698971807957;117.79999999999995;526.27;9.807;35.3052;107;117.79999999999995;9.807;0
2025-09-22T14:41:10;46.33643955923617;-0.3277155663818121;115.39999999999998;593.46;9.657;34.7652;108;115.39999999999998;9.657;0
2025-09-22T14:41:11;46.3364018406719;-0.3278304822742939;114.79999999999995;603.25;9.657;34.7652;109;114.79999999999995;9.657;0
2025-09-22T14:41:15;46.33626043796539;-0.3282917384058237;113.0;642.16;9.573;34.4628;110;113.0;9.573;0
2025-09-22T14:41:17;46.33623395115137;-0.32854135148227215;112.39999999999998;661.64;9.657;34.7652;110;112.39999999999998;9.657;0
2025-09-22T14:41:18;46.336241913959384;-0.32866280525922775;112.0;671.03;9.657;34.7652;113;112.0;9.657;0
2025-09-22T14:41:20;46.3362789619714;-0.3289015218615532;111.20000000000005;689.87;9.657;34.7652;113;111.20000000000005;9.657;0
2025-09-22T14:41:27;46.33642254397273;-0.3297879919409752;109.0;759.94;9.863;35.5068;117;109.0;9.863;0
2025-09-22T14:41:28;46.33644634857774;-0.32991900108754635;108.79999999999995;770.37;9.872;35.5392;117;108.79999999999995;9.872;0
2025-09-22T14:41:34;46.33662723004818;-0.3306613862514496;107.60000000000002;830.99;10.124;36.446400000000004;116;107.60000000000002;10.124;0
2025-09-22T14:41:39;46.33672839961946;-0.33126077614724636;106.60000000000002;878.58;9.741;35.0676;117;106.60000000000002;9.741;0
